Gene,RLS
YBR201W,33.34054
YBR203W,28.8
YBR204C,32.2
YBR205W,33.8
YBR206W,26.6
YBR207W,34.6
YBR208C,25.4
YBR209W,27.2
YBR210W,35.8
YBR212W,27.4
YBR213W,29.8
YBR214W,31.2
YBR215W,44.4
YBR216C,26
YBR217W,26.2
YBR218C,28.6
YBR219C,39.8
YBR220C,34.4
YBR221C,11.18182
YBR222C,29.6
YBR223C,22.4
YBR224W,24.3
YBR225W,17.6
YBR226C,31.75
YBR227C,20
YBR228W,25.94286
YBR229C,23.1
YBR230C,21.4
YBR231C,15.9
YBR232C,26.2
YBR233W,24
YBR235W,24.3
YBR238C,30.75333
YBR239C,24.1
YBR240C,32.46667
YBR241C,23.8
YBR242W,27.68
YBR244W,26.96552
YBR245C,26.84286
YBR246W,25
YBR248C,24.9
YBR249C,26.53333
YBR250W,25.5
YBR251W,30.16
YBR255W,32.87179
YBR258C,22.5
YBR259W,27.13333
YBR260C,23.9
YBR261C,33.05
YBR262C,17.3
YBR263W,28.53333
YBR264C,23
YBR266C,37.3375
YBR267W,35.66
YBR268W,28.27059
YBR269C,27
YBR270C,24.6
YBR271W,20.4
YBR272C,28.2
YBR273C,27.2
YBR274W,30.6
YBR275C,22
YBR276C,24.55
YBR277C,25.6
YBR278W,19
YBR279W,31.42222
YBR280C,26.2
YBR281C,27.8
YBR282W,23
YBR283C,16.4
YBR284W,23
YBR285W,27.6
YBR286W,22.6
YBR288C,31.6
YBR289W,27.84
YBR290W,35
YBR291C,17.2
YBR292C,27.6
YBR293W,26
YBR294W,30.24
YBR295W,20.2
YBR296C,23.4
YBR297W,29.2
YBR298C,23.2
YBR299W,23.8
YBR300C,21.8
YBR301W,17.6
YCL001W,25.56667
YCL002C,21.6
YCL004W,10.2
YCL005W,15.6
YCL007C,17.6
YCL008C,23.4
YCL009C,23.6
YCL010C,25.6
YCL011C,21
YCL014W,23.3
YCL016C,5.8
YCL022C,22
YCL023C,31.7
YCL024W,29.4
YCL025C,19.4
YCL026C-A,27.4
YCL027W,32.2
YCL028W,21.8
YCL029C,17.6
YCL030C,28.70455
YCL032W,23.36
YCL033C,25.6
YCL034W,21
YCL035C,14
YCL036W,26
YCL037C,21
YCL038C,25.7
YCL039W,23.6
YCL040W,27.87692
YCL042W,12
YCL044C,19.6
YCL045C,19.4
YCL046W,7.6
YCL047C,23.2
YCL048W,21
YCL049C,23
YCL050C,21.8
YCL051W,23.6
YCL055W,17
YCL056C,30.2
YCL057W,25.4
YCL058C,21
YCL061C,20.9
YCL063W,24.3
YCL064C,31.8
YCL067C,31.4
YCL069W,20.6
YCL074W,17.8
YCL075W,26.43333
YCL076W,23
YCR001W,24
YCR002C,31.8
YCR003W,24.69106
YCR004C,25.8
YCR005C,27.13333
YCR006C,24
YCR007C,24.2
YCR009C,29.42222
YCR010C,19.6
YCR011C,18.8
YCR014C,16.6
