db.name,sys.name
PIN4,YBL051C
SAS3,YBL052C
YBL053W,YBL053W
TOD6,YBL054W
YBL055C,YBL055C
PTC3,YBL056W
PTH2,YBL057C
SHP1,YBL058W
YBL059W,YBL059W
YEL1,YBL060W
SKT5,YBL061C
YBL062W,YBL062W
KIP1,YBL063W
PRX1,YBL064C
YBL065W,YBL065W
SEF1,YBL066C
UBP13,YBL067C
PRS4,YBL068W
AST1,YBL069W
YBL070C,YBL070C
YBL071C,YBL071C
RPS8A,YBL072C
SSA3,YBL075C
ATG8,YBL078C
NUP170,YBL079W
PET112,YBL080C
YBL081W,YBL081W
ALG3,YBL082C
YBL083C,YBL083C
BOI1,YBL085W
YBL086C,YBL086C
RPL23A,YBL087C
TEL1,YBL088C
AVT5,YBL089W
MRP21,YBL090W
MAP2,YBL091C
SCS22,YBL091C-A
ROX3,YBL093C
YBL094C,YBL094C
YBL095W,YBL095W
YBL096C,YBL096C
BNA4,YBL098W
ATP1,YBL099W
YBL100C,YBL100C
ECM21,YBL101C
SFT2,YBL102W
RTG3,YBL103C
YBL104C,YBL104C
SRO77,YBL106C
YBL107C,YBL107C
NTH2,YBR001C
COQ1,YBR003W
RCR1,YBR005W
UGA2,YBR006W
DSF2,YBR007C
FLR1,YBR008C
HHF1,YBR009C
HHT1,YBR010W
YBR012C,YBR012C
YBR013C,YBR013C
GRX7,YBR014C
MNN2,YBR015C
YBR016W,YBR016W
GAL7,YBR018C
GAL10,YBR019C
GAL1,YBR020W
FUR4,YBR021W
POA1,YBR022W
CHS3,YBR023C
SCO2,YBR024W
OLA1,YBR025C
ETR1,YBR026C
YBR027C,YBR027C
YBR028C,YBR028C
RKM3,YBR030W
RPL4A,YBR031W
YBR032W,YBR032W
EDS1,YBR033W
HMT1,YBR034C
PDX3,YBR035C
CSG2,YBR036C
SCO1,YBR037C
ATP3,YBR039W
FIG1,YBR040W
FAT1,YBR041W
CST26,YBR042C
QDR3,YBR043C
TCM62,YBR044C
GIP1,YBR045C
ZTA1,YBR046C
FMP23,YBR047W
RPS11B,YBR048W
REG2,YBR050C
YBR051W,YBR051W
RFS1,YBR052C
YBR053C,YBR053C
YRO2,YBR054W
YBR056W,YBR056W
MUM2,YBR057C
UBP14,YBR058C
AKL1,YBR059C
YBR062C,YBR062C
YBR063C,YBR063C
YBR064W,YBR064W
ECM2,YBR065C
NRG2,YBR066C
TIP1,YBR067C
BAP2,YBR068C
TAT1,YBR069C
YBR071W,YBR071W
HSP26,YBR072W
RDH54,YBR073W
YBR074W,YBR074W
ECM8,YBR076W
SLM4,YBR077C
ECM33,YBR078W
SPT7,YBR081C
TEC1,YBR083W
RPL19A,YBR084C-A
MIS1,YBR084W
AAC3,YBR085W
YBR090C,YBR090C
PHO3,YBR092C
PHO5,YBR093C
PBY1,YBR094W
RXT2,YBR095C
YBR096W,YBR096W
VPS15,YBR097W
MMS4,YBR098W
YBR099C,YBR099C
FES1,YBR101C
SIF2,YBR103W
YMC2,YBR104W
VID24,YBR105C
PHO88,YBR106W
IML3,YBR107C
AIM3,YBR108W
YSA1,YBR111C
SUS1,YBR111W-A
CYC8,YBR112C
YBR113W,YBR113W
RAD16,YBR114W
LYS2,YBR115C
YBR116C,YBR116C
TKL2,YBR117C
MUD1,YBR119W
CBP6,YBR120C
PTC4,YBR125C
TPS1,YBR126C
VMA2,YBR127C
ATG14,YBR128C
OPY1,YBR129C
SHE3,YBR130C
CCZ1,YBR131W
AGP2,YBR132C
HSL7,YBR133C
YBR134W,YBR134W
YBR137W,YBR137W
YBR138C,YBR138C
YBR139W,YBR139W
YBR141C,YBR141C
YBR144C,YBR144C
ADH5,YBR145W
MRPS9,YBR146W
RTC2,YBR147W
YSW1,YBR148W
ARA1,YBR149W
TBS1,YBR150C
APD1,YBR151W
SLI15,YBR156C
ICS2,YBR157C
AMN1,YBR158W
IFA38,YBR159W
CSH1,YBR161W
TOS1,YBR162C
YSY6,YBR162W-A
ARL1,YBR164C
UBS1,YBR165W
TYR1,YBR166C
PEX32,YBR168W
SSE2,YBR169C
NPL4,YBR170C
SEC66,YBR171W
SMY2,YBR172C
UMP1,YBR173C
YBR174C,YBR174C
SWD3,YBR175W
ECM31,YBR176W
EHT1,YBR177C
YBR178W,YBR178W
FZO1,YBR179C
DTR1,YBR180W
RPS6B,YBR181C
SMP1,YBR182C
YPC1,YBR183W
YBR184W,YBR184W
MBA1,YBR185C
PCH2,YBR186W
GDT1,YBR187W
NTC20,YBR188C
RPS9B,YBR189W
RPL21A,YBR191W
MSI1,YBR195C
YBR197C,YBR197C
KTR4,YBR199W
BEM1,YBR200W
DER1,YBR201W
COS111,YBR203W
YBR204C,YBR204C
KTR3,YBR205W
YBR206W,YBR206W
FTH1,YBR207W
YBR209W,YBR209W
ERV15,YBR210W
NGR1,YBR212W
MET8,YBR213W
SDS24,YBR214W
HPC2,YBR215W
YBP1,YBR216C
ATG12,YBR217W
PYC2,YBR218C
YBR219C,YBR219C
YBR220C,YBR220C
PDB1,YBR221C
PCS60,YBR222C
TDP1,YBR223C
YBR224W,YBR224W
YBR225W,YBR225W
YBR226C,YBR226C
MCX1,YBR227C
SLX1,YBR228W
ROT2,YBR229C
OM14,YBR230C
SWC5,YBR231C
YBR232C,YBR232C
PBP2,YBR233W
YBR235W,YBR235W
YBR238C,YBR238C
YBR239C,YBR239C
THI2,YBR240C
YBR241C,YBR241C
YBR242W,YBR242W
GPX2,YBR244W
ISW1,YBR245C
YBR246W,YBR246W
HIS7,YBR248C
ARO4,YBR249C
SPO23,YBR250W
MRPS5,YBR251W
MTC4,YBR255W
SHG1,YBR258C
YBR259W,YBR259W
RGD1,YBR260C
TAE1,YBR261C
SHM1,YBR263W
YPT10,YBR264C
YBR266C,YBR266C
REI1,YBR267W
MRPL37,YBR268W
BIT2,YBR270C
YBR271W,YBR271W
HSM3,YBR272C
UBX7,YBR273C
CHK1,YBR274W
RIF1,YBR275C
PPS1,YBR276C
YBR277C,YBR277C
DPB3,YBR278W
PAF1,YBR279W
SAF1,YBR280C
DUG2,YBR281C
MRPL27,YBR282W
SSH1,YBR283C
YBR284W,YBR284W
YBR285W,YBR285W
APE3,YBR286W
APM3,YBR288C
SNF5,YBR289W
BSD2,YBR290W
CTP1,YBR291C
YBR292C,YBR292C
VBA2,YBR293W
SUL1,YBR294W
PCA1,YBR295W
PHO89,YBR296C
MAL33,YBR297W
MAL31,YBR298C
MAL32,YBR299W
YBR300C,YBR300C
RER1,YCL001W
YCL002C,YCL002C
LDB16,YCL005W
STP22,YCL008C
ILV6,YCL009C
SGF29,YCL010C
GBP2,YCL011C
BUD3,YCL014W
DCC1,YCL016C
YCL022C,YCL022C
YCL023C,YCL023C
KCC4,YCL024W
AGP1,YCL025C
FRM2,YCL026C-A
FUS1,YCL027W
RNQ1,YCL028W
BIK1,YCL029C
HIS4,YCL030C
STE50,YCL032W
MXR2,YCL033C
LSB5,YCL034W
GRX1,YCL035C
GFD2,YCL036W
SRO9,YCL037C
ATG22,YCL038C
GID7,YCL039W
GLK1,YCL040W
YCL042W,YCL042W
MGR1,YCL044C
YCL045C,YCL045C
YCL046W,YCL046W
YCL047C,YCL047C
SPS22,YCL048W
YCL049C,YCL049C
APA1,YCL050C
LRE1,YCL051W
KAR4,YCL055W
YCL056C,YCL056C
PRD1,YCL057W
FYV5,YCL058C
MRC1,YCL061C
VAC17,YCL063W
CHA1,YCL064C
PHA2,YCL067C
VBA3,YCL069W
YCL074W,YCL074W
YCL075W,YCL075W
YCL076W,YCL076W
YCR001W,YCR001W
CDC10,YCR002C
MRPL32,YCR003W
YCP4,YCR004C
CIT2,YCR005C
YCR006C,YCR006C
YCR007C,YCR007C
RVS161,YCR009C
ADY2,YCR010C
ADP1,YCR011C
POL4,YCR014C
YCR015C,YCR015C
YCR016W,YCR016W
CWH43,YCR017C
MAK32,YCR019W
PET18,YCR020C
MAK31,YCR020C-A
HTL1,YCR020W-B
HSP30,YCR021C
YCR022C,YCR022C
YCR023C,YCR023C
SLM5,YCR024C
PMP1,YCR024C-A
YCR025C,YCR025C
NPP1,YCR026C
RHB1,YCR027C
FEN2,YCR028C
RIM1,YCR028C-A
SYP1,YCR030C
RPS14A,YCR031C
BPH1,YCR032W
SNT1,YCR033W
RBK1,YCR036W
PHO87,YCR037C
YCR043C,YCR043C
PER1,YCR044C
YCR045C,YCR045C
IMG1,YCR046C
BUD23,YCR047C
ARE1,YCR048W
YCR049C,YCR049C
YCR050C,YCR050C
YCR051W,YCR051W
THR4,YCR053W
YIH1,YCR059C
TAH1,YCR060W
YCR061W,YCR061W
BUD31,YCR063W
HCM1,YCR065W
RAD18,YCR066W
SED4,YCR067C
ATG15,YCR068W
CPR4,YCR069W
IMG2,YCR071C
SSK22,YCR073C
SOL2,YCR073W-A
ERS1,YCR075C
YCR076C,YCR076C
PAT1,YCR077C
PTC6,YCR079W
SRB8,YCR081W
AHC2,YCR082W
TRX3,YCR083W
TUP1,YCR084C
YCR085W,YCR085W
CSM1,YCR086W
YCR087W,YCR087W
ABP1,YCR088W
FIG2,YCR089W
YCR090C,YCR090C
KIN82,YCR091W
MSH3,YCR092C
CDC50,YCR094W
OCA4,YCR095C
GIT1,YCR098C
YCR099C,YCR099C
YCR100C,YCR100C
YCR101C,YCR101C
YCR102C,YCR102C
ADH7,YCR105W
RDS1,YCR106W
AAD3,YCR107W
RMD1,YDL001W
NHP10,YDL002C
MED2,YDL005C
PTC1,YDL006W
YDL009C,YDL009C
GRX6,YDL010W
YDL011C,YDL011C
YDL012C,YDL012C
SLX5,YDL013W
ERP3,YDL018C
OSH2,YDL019C
RPN4,YDL020C
GPM2,YDL021W
GPD1,YDL022W
YDL023C,YDL023C
DIA3,YDL024C
YDL025C,YDL025C
YDL026W,YDL026W
YDL027C,YDL027C
YDL032W,YDL032W
SLM3,YDL033C
YDL034W,YDL034W
GPR1,YDL035C
PUS9,YDL036C
BSC1,YDL037C
PRM7,YDL039C
NAT1,YDL040C
YDL041W,YDL041W
SIR2,YDL042C
MTF2,YDL044C
MRP10,YDL045W-A
NPC2,YDL046W
SIT4,YDL047W
STP4,YDL048C
KNH1,YDL049C
YDL050C,YDL050C
LHP1,YDL051W
SLC1,YDL052C
PBP4,YDL053C
MCH1,YDL054C
MBP1,YDL056W
YDL057W,YDL057W
RAD59,YDL059C
YDL062W,YDL062W
YDL063C,YDL063C
PEX19,YDL065C
IDP1,YDL066W
COX9,YDL067C
YDL068W,YDL068W
CBS1,YDL069C
BDF2,YDL070W
YDL071C,YDL071C
YET3,YDL072C
YDL073W,YDL073W
BRE1,YDL074C
RPL31A,YDL075W
RXT3,YDL076C
VAM6,YDL077C
MDH3,YDL078C
MRK1,YDL079C
THI3,YDL080C
RPP1A,YDL081C
RPL13A,YDL082W
RPS16B,YDL083C
NDE2,YDL085W
