"ORF","myStddev","myMean","myCV"
"YKR009C",0.327608935658394,10.9591821122234,0.0298935570468341
"YDL157C",0.348339815066378,12.5099169690685,0.0278450940903659
"YER059W",0.225043077484029,10.1051842842877,0.0222700616983247
"YGL059W",0.308716402757095,9.01775716379561,0.0342342776756649
"YDR481C",0.559283656667081,11.6169595093987,0.0481437209292666
"YML113W",0.359205610168007,10.5356507564947,0.0340942973974887
"YIL157C",0.264630911496781,10.9130486566217,0.0242490361605977
"YPR003C",0.211469971801322,9.20514814103969,0.0229730112499241
"YNR074C",0.19263065917342,11.3574164175253,0.0169607815802348
"YLR154C-H",0.831786393356343,9.53329516596619,0.0872506702955989
"YKL012W",0.241409388379875,10.7583747601493,0.0224392060847418
"YJL147C",0.200927804391377,9.59139737020791,0.0209487519530245
"YDL216C",0.183860921758634,8.55621836255528,0.0214885728680403
"YNL320W",0.253610393156852,11.4692917661234,0.0221121232529749
"YHL007C",0.150189728037372,11.880756206716,0.0126414283252839
"YPL223C",1.50425568317866,9.19532909158506,0.163589107926029
"YKL138C",0.244031803403456,11.023060458301,0.0221382985538907
"YNL126W",0.617700156625686,9.80639514198124,0.0629895234367324
"YKL055C",0.242495411186947,8.72766471297192,0.0277846845819509
"YML035C",0.144729287141535,11.7927317119728,0.0122727533091078
"YER087C-B",0.229090561803992,13.2293225987551,0.0173168777232441
"YIL160C",0.482262095033375,8.15467426718823,0.0591393450225034
"YLR050C",0.453455246402699,11.4712340416128,0.0395297702721221
"YOR037W",0.115068141600552,9.86068089059207,0.0116693910772771
"YOL008W",0.23138702493284,10.1958851053492,0.0226941577452109
"YOR072W-B",0.37455221474199,9.6502952485401,0.0388125135133718
"YPL253C",0.411568667725942,9.20602975705372,0.0447064237882346
"YDL048C",0.628152321543614,10.8056622422709,0.0581317745696635
"YDR056C",0.104341293016568,11.9050971717555,0.00876442178599896
"YNL083W",0.132540661096269,9.8285424377074,0.013485281458192
"YCR081W",0.196464667188032,9.96912950377629,0.0197073041446208
"YDL159W",0.165181592510417,9.7795058064638,0.0168905868843842
"YCR024C-B",0.283473135716873,13.867994389722,0.0204408170172728
"YPL154C",0.66483066380553,13.0829814149947,0.0508164494557452
"YDR020C",0.412193887894773,9.69876030147934,0.0424996468705286
"YOR290C",0.239384409308723,11.6250079098052,0.0205921932411602
"YGR267C",0.105762735718336,12.6437440335456,0.00836482733577435
"YNL216W",0.297385019236179,11.3756563669077,0.0261422294806025
"YFL034C-B",0.251653212852325,10.2758372485726,0.0244898013431735
"YEL031W",0.131377392276863,13.5610826377245,0.00968782476934362
"YBR238C",0.688440461687004,10.7061030904678,0.064303552456912
"YFL045C",0.233214042788717,14.074846353869,0.0165695622478046
"YGL222C",0.656171369490184,9.55509124932946,0.0686724336134657
"YIR021W",0.191578361777683,10.8748304619441,0.0176166757218056
"YHR014W",0.325326781119666,9.12933111673665,0.0356353359254601
"YEL006W",0.291394747666697,11.6184603810581,0.0250803237356446
"YDL029W",0.257955431351492,12.570323628617,0.0205209856939755
"YLR401C",0.397933000655419,11.2095740342857,0.0354993864564611
"YDR447C",0.0829445839182377,14.1411647323468,0.00586547045368253
"YOR192C-C",0.221847136952368,11.2224197389201,0.0197682088278152
"YER026C",0.305959360440267,12.6876561582117,0.0241147266780433
"YLR287C-A",0.0674552291336884,14.3220775944651,0.00470987736861284
"YKL195W",0.583676010290785,10.5893245181847,0.0551192863424346
"YDR144C",0.357506406696623,12.2837129503949,0.0291040997245976
"YDR439W",0.0777316231436675,9.95688891149787,0.00780681835808228
"YBR149W",0.825198495361739,11.9059441230725,0.0693097907088768
"YER114C",0.29669811932812,11.0212726406448,0.0269204953912438
"YMR247C",0.161269598411453,12.7321856998931,0.012666293298943
"YMR076C",0.889173485287296,11.1248975885121,0.0799264423077009
"YGR056W",0.277181504486594,11.0219908751607,0.02514804336404
"YAL013W",0.196841531196152,10.545880719661,0.0186652529484024
"YPR002W",0.415638873993135,8.88426769110333,0.0467836954540839
"YOR175C",0.521091471086705,11.1804705532839,0.0466072933695668
"YDL167C",0.395225389942998,11.1537151895904,0.0354344165352058
"YDR465C",0.498156401399029,12.1077638004535,0.0411435513286416
"YJL201W",0.274931235477933,10.6704261688564,0.0257657221114907
"YDR495C",0.242820151802732,9.86988609250612,0.0246021230161002
"YDR501W",0.620233988317444,9.18650022357304,0.0675158083299112
"YHL010C",0.259755326307611,8.46374149627083,0.0306903662431161
"YHR152W",0.703483304813814,9.47741458375425,0.0742273431848906
"YER035W",0.332978096605374,11.0010900478786,0.0302677366657483
"YHR002W",0.441116958004288,10.5630096725725,0.0417605371648644
"YPL020C",0.158527037780523,10.9690774924291,0.0144521759363938
"YLR286C",1.29404968308869,11.6965853230558,0.110634826092186
"YKL061W",0.215845334591482,8.88709076446166,0.0242875132382601
"YHR131C",0.221385257902166,9.78181459734529,0.0226323301979418
"YJL185C",0.619020160514459,9.3641637365554,0.0661052260436195
"YMR317W",0.163942476079014,8.41415981183706,0.0194841172196871
"YIL125W",0.159890201018277,12.1593624164541,0.0131495546840444
"YPL065W",0.178960010178389,10.1129870886058,0.0176960584059304
"YGR130C",0.70624830176029,10.3795184198035,0.0680424922617612
"YDL049C",0.322612145852696,8.84926990774571,0.036456357328452
"YBR065C",0.327510756521105,9.14729545863639,0.0358041082199752
"YJR082C",0.327909008170945,10.807051619521,0.0303421339802465
"YMR182C",0.589043071236751,9.70786817026762,0.0606768716782557
"YPL264C",0.293624488955906,8.91057407016958,0.0329523649816109
"YPL199C",0.217885832748297,12.0345525270997,0.0181050215417363
