"ORF","myStddev","myMean","myCV"
"YLR331C",0.0721112144778433,1.68714287686275,0.0427416168877971
"YLR332W",0.148418037671288,2.82811728217456,0.0524794493519618
"YLR333C",0.0478146519624055,3.37586502550707,0.0141636740809042
"YLR334C",0.12026749207195,1.85637602951886,0.0647861694826568
"YLR335W",0.0641176975616053,2.82746447557346,0.0226767473528031
"YLR336C",0.104777406807741,2.71765366497663,0.0385543633311503
"YLR337C",0.126696136481251,2.77452094683821,0.0456641484814278
"YLR338W",0.237255452687318,2.60514614900336,0.0910718397806912
"YLR339C",0.127875974380263,2.45864783677491,0.0520106915954269
"YLR295C",0.11445647391883,3.15299584624949,0.0363008641622463
"YLR296W",0.0923013249385963,1.83621204608743,0.0502672472578917
"YLR297W",0.136498118690336,3.12640811789341,0.0436597250081059
"YLR298C",0.112758243183216,2.6414103424587,0.0426886505934769
"YLR299W",0.0901926495335623,3.01899862592791,0.0298750217237482
"YLR300W",0.0852147989525799,3.34673477951202,0.025462071113088
"YLR301W",0.124548456798377,3.24520435136781,0.0383792338827235
"YLR302C",0.114269990617358,2.12448681745023,0.0537871026916997
"YLR303W",0.144590927232021,3.50019543320789,0.0413093868588661
"YLR304C",0.146848334724279,3.24068006055977,0.0453140488971668
"YLR305C",0.0972338173745759,2.65497043823643,0.0366233145101095
"YLR306W",0.154822019401256,2.46954500042473,0.0626925281275005
"YLR307W",0.123673699167776,2.05943378362317,0.060052282404631
"YLR308W",0.10254874421274,2.10254600208563,0.0487736031035785
"YLR309C",0.0409842076721614,2.85454724964171,0.0143575159518924
"YLR310C",0.113842746124037,2.16336408687372,0.0526230174637645
"YLR311C",0.0740373019763754,2.42352620865863,0.0305494125509595
"YLR312C",0.291210136247434,2.63331270119454,0.110586994136827
"YLR313C",0.0907871761861034,2.67879025041828,0.0338911104264052
"YLR314C",0.0985690875697843,2.50459448778106,0.0393553080351587
"YLR315W",0.145982648340983,2.29780133845578,0.0635314489106744
"YLR316C",0.138560008736058,2.73373892460829,0.0506851651007279
"YLR274W",0.119191806776923,2.32370853251353,0.0512937853905432
"YLR275W",0.102766770994464,2.50434757324018,0.0410353467276519
"YLR276C",0.184216161458915,2.83945144637061,0.0648773768237455
"YLR277C",0.0723742063682972,2.5742808115424,0.0281143401464946
"YLR278C",0.144196163231608,2.47102898826026,0.0583547032093421
"YLR279W",0.086405296147357,2.73688165945423,0.0315707096245393
"YLR280C",0.189874076844567,3.15397956303048,0.0602014290359346
"YLR281C",0.295149236222146,2.58138004197312,0.114337769496561
"YLR282C",0.0825494322701458,2.18171900983178,0.0378368762879831
"YLR283W",0.151802442907721,1.76081201844532,0.0862116122093216
"YLR284C",0.135388398437622,2.75318231687777,0.0491752389980327
"YLR285W",0.165071990090307,2.77115070743096,0.0595680305829846
"YLR286C",0.135546843183645,3.15740604862042,0.042929810450851
"YLR287C",0.230182358329014,1.91146889725939,0.120421712672931
"YLR287C-A",0.0387887192221561,3.61877962984529,0.0107187292926744
"YLR288C",0.0565421243584041,2.4712379613448,0.0228800808513135
"YLR289W",0.0558112499223933,2.58278150124262,0.0216089707532524
"YLR290C",0.17107832895988,3.15688676614214,0.0541921017867061
"YLR291C",0.0861293461908229,2.92560444051054,0.029439846685423
"YLR292C",0.0802262874170008,3.00650062409294,0.0266842743268031
"YLR293C",0.125604935717451,3.35415069223841,0.0374476125977596
"YLR294C",0.0659588119076836,2.92810326553253,0.0225261221774867
"YLR253W",0.0989852974061503,2.68173482682399,0.0369109191617501
"YLR254C",0.0660888287892731,3.12027472923943,0.0211804518909725
"YLR255C",0.0838193168687426,2.53994623787862,0.033000429544032
"YLR256W",0.218924397025059,2.82764611428756,0.0774228415355357
"YLR257W",0.0665793654117645,3.24902631315731,0.0204920979378171
"YLR258W",0.327018605069507,3.08500000395599,0.106002789189679
"YLR259C",0.0522742533587671,3.48267218657696,0.0150098115924446
"YLR260W",0.100659703185856,2.77768306887258,0.036238728713824
"YLR261C",0.272391703506054,2.43277356639303,0.111967553112605
"YLR262C",0.260627301345735,2.1119478836784,0.123406123493823
"YLR262C-A",0.130257141266409,3.10508825095507,0.0419495778344928
"YLR263W",0.0529558427476438,2.3735648159953,0.0223106790220254
"YLR264W",0.23814653246244,3.4006117631583,0.0700304971718568
"YLR265C",0.106646633486649,1.78201132613271,0.0598462152976839
"YLR266C",0.0866002073881647,2.16204406507807,0.0400547837053625
"YLR267W",0.0790311310850524,2.03821259913936,0.0387747240491122
"YLR268W",0.125861527914226,2.67252087230169,0.0470946847295634
"YLR269C",0.107850346606624,1.85700576495833,0.0580775507765016
"YLR270W",0.218666616834292,2.94034890907837,0.0743675745960473
"YLR271W",0.129747309163939,2.41314184486585,0.0537669633635449
"YLR272C",0.157420824286549,2.14545282694325,0.073374171787704
"YLR273C",0.107232585729075,2.51139974971805,0.0426983341624979
"YLR232W",0.113539015362529,2.11784776476914,0.053610565051594
"YLR233C",0.0852602771372371,2.10354750991522,0.0405316622207755
"YLR234W",0.114371102491176,2.09334958460168,0.0546354528323743
"YLR235C",0.0681334203793213,2.30663041675394,0.0295380741901444
"YLR236C",0.0698080344008296,2.66341348114983,0.0262099876323718
"YLR237W",0.116425948002383,3.29227378442391,0.0353633858013896
"YLR238W",0.115367287865424,2.27037302796638,0.0508142434940574
"YLR239C",0.110730234536813,2.52528725835554,0.043848569769809
"YLR240W",0.111759176326528,2.46018217821989,0.0454271953174595
"YLR241W",0.136857614517603,2.8469638906423,0.0480714261840276
"YLR242C",0.149604266851578,2.30546164098552,0.0648912409523443
