systematic,gene,sgd
YDL062W,YDL062W,S000002220
YDL063C,SYO1,S000002221
YDL064W,UBC9,S000002222
YDL065C,PEX19,S000002223
YDL066W,IDP1,S000002224
YDL067C,COX9,S000002225
YDL068W,YDL068W,S000002226
YDL069C,CBS1,S000002227
YDL070W,BDF2,S000002228
YDL071C,YDL071C,S000002229
YDL072C,YET3,S000002230
YDL073W,YDL073W,S000002231
YDL074C,BRE1,S000002232
YDL075W,RPL31A,S000002233
YDL076C,RXT3,S000002234
YDL077C,VAM6,S000002235
YDL078C,MDH3,S000002236
YDL079C,MRK1,S000002237
YDL080C,THI3,S000002238
YDL081C,RPP1A,S000002239
YDL082W,RPL13A,S000002240
YDL083C,RPS16B,S000002241
YDL084W,SUB2,S000002242
YDL085C-A,YDL085C-A,S000007588
YDL085W,NDE2,S000002243
YDL086C-A,YDL086C-A,S000028611
YDL086W,YDL086W,S000002244
YDL087C,LUC7,S000002245
YDL088C,ASM4,S000002246
YDL089W,NUR1,S000002247
YDL090C,RAM1,S000002248
YDL091C,UBX3,S000002249
YDL092W,SRP14,S000002250
YDL093W,PMT5,S000002251
YDL094C,YDL094C,S000002252
YDL095W,PMT1,S000002253
YDL096C,OPI6,S000002254
YDL097C,RPN6,S000002255
YDL098C,SNU23,S000002256
YDL099W,BUG1,S000002257
YDL100C,GET3,S000002258
YDL101C,DUN1,S000002259
YDL102W,POL3,S000002260
YDL103C,QRI1,S000002261
YDL104C,QRI7,S000002262
YDL105W,NSE4,S000002263
YDL106C,PHO2,S000002264
YDL107W,MSS2,S000002265
YDL108W,KIN28,S000002266
YDL109C,YDL109C,S000002267
YDL110C,TMA17,S000002268
YDL111C,RRP42,S000002269
YDL112W,TRM3,S000002270
YDL113C,ATG20,S000002271
YDL114W,YDL114W,S000002272
YDL114W-A,YDL114W-A,S000007598
YDL115C,IWR1,S000002273
YDL116W,NUP84,S000002274
YDL117W,CYK3,S000002275
YDL118W,YDL118W,S000002276
YDL119C,YDL119C,S000002277
YDL120W,YFH1,S000002278
YDL121C,YDL121C,S000002279
YDL122W,UBP1,S000002280
YDL123W,SNA4,S000002281
YDL124W,YDL124W,S000002282
YDL125C,HNT1,S000002283
YDL126C,CDC48,S000002284
YDL127W,PCL2,S000002285
YDL128W,VCX1,S000002286
YDL129W,YDL129W,S000002287
YDL130W,RPP1B,S000002288
YDL130W-A,STF1,S000007232
YDL131W,LYS21,S000002289
YDL132W,CDC53,S000002290
YDL133C-A,RPL41B,S000002293
YDL133W,SRF1,S000002291
YDL134C,PPH21,S000002292
YDL135C,RDI1,S000002294
YDL136W,RPL35B,S000002295
YDL137W,ARF2,S000002296
YDL138W,RGT2,S000002297
YDL139C,SCM3,S000002298
YDL140C,RPO21,S000002299
YDL141W,BPL1,S000002300
YDL142C,CRD1,S000002301
YDL143W,CCT4,S000002302
YDL144C,YDL144C,S000002303
YDL145C,COP1,S000002304
YDL146W,LDB17,S000002305
YDL147W,RPN5,S000002306
YDL148C,NOP14,S000002307
YDL149W,ATG9,S000002308
YDL150W,RPC53,S000002309
YDL151C,BUD30,S000002310
YDL152W,YDL152W,S000002311
YDL153C,SAS10,S000002312
YDL154W,MSH5,S000002313
YDL155W,CLB3,S000002314
YDL156W,CMR1,S000002315
YDL157C,YDL157C,S000002316
YDL158C,YDL158C,S000002317
YDL159C-B,YDL159C-B,S000028612
YDL159W,STE7,S000002318
YDL159W-A,YDL159W-A,S000007599
YDL160C,DHH1,S000002319
YDL160C-A,MHF2,S000028520
YDL161W,ENT1,S000002320
YDL162C,YDL162C,S000002321
YDL163W,YDL163W,S000002322
YDL164C,CDC9,S000002323
YDL165W,CDC36,S000002324
YDL166C,FAP7,S000002325
YDL167C,NRP1,S000002326
YDL168W,SFA1,S000002327
YDL169C,UGX2,S000002328
YDL170W,UGA3,S000002329
YDL171C,GLT1,S000002330
YDL172C,YDL172C,S000002331
YDL173W,PAR32,S000002332
YDL174C,DLD1,S000002333
YDL175C,AIR2,S000002334
YDL176W,YDL176W,S000002335
YDL177C,YDL177C,S000002336
YDL178W,DLD2,S000002337
YDL179W,PCL9,S000002338
YDL180W,YDL180W,S000002339
YDL181W,INH1,S000002340
YDL182W,LYS20,S000002341
YDL183C,YDL183C,S000002342
YDL184C,RPL41A,S000002343
YDL185C-A,YDL185C-A,S000007600
YDL185W,VMA1,S000002344
YDL186W,YDL186W,S000002345
YDL187C,YDL187C,S000002346
YDL188C,PPH22,S000002347
YDL189W,RBS1,S000002348
YDL190C,UFD2,S000002349
YDL191W,RPL35A,S000002350
YDL192W,ARF1,S000002351
YDL193W,NUS1,S000002352
YDL194W,SNF3,S000002353
YDL195W,SEC31,S000002354
YDL196W,YDL196W,S000002355
YDL197C,ASF2,S000002356
YDL198C,GGC1,S000002357
YDL199C,YDL199C,S000002358
YDL200C,MGT1,S000002359
YDL201W,TRM8,S000002360
YDL202W,MRPL11,S000002361
YDL203C,ACK1,S000002362
YDL204W,RTN2,S000002363
YDL205C,HEM3,S000002364
YDL206W,YDL206W,S000002365
YDL207W,GLE1,S000002366
YDL208W,NHP2,S000002367
YDL209C,CWC2,S000002368
YDL210W,UGA4,S000002369
YDL211C,YDL211C,S000002370
YDL212W,SHR3,S000002371
YDL213C,NOP6,S000002372
YDL214C,PRR2,S000002373
YDL215C,GDH2,S000002374
YDL216C,RRI1,S000002375
YDL217C,TIM22,S000002376
YDL218W,YDL218W,S000002377
YDL219W,DTD1,S000002378
YDL220C,CDC13,S000002379
YDL221W,YDL221W,S000002380
YDL222C,FMP45,S000002381
YDL223C,HBT1,S000002382
YDL224C,WHI4,S000002383
YDL225W,SHS1,S000002384
YDL226C,GCS1,S000002385
YDL227C,HO,S000002386
YDL228C,YDL228C,S000002387
YDL229W,SSB1,S000002388
YDL230W,PTP1,S000002389
YDL231C,BRE4,S000002390
YDL232W,OST4,S000002391
YDL233W,MFG1,S000002392
YDL234C,GYP7,S000002393
YDL235C,YPD1,S000002394
YDL236W,PHO13,S000002395
YDL237W,AIM6,S000002396
YDL238C,GUD1,S000002397
YDL239C,ADY3,S000002398
YDL240C-A,YDL240C-A,S000007601
YDL240W,LRG1,S000002399
YDL241W,YDL241W,S000002400
YDL242W,YDL242W,S000002401
YDL243C,AAD4,S000002402
YDL244W,THI13,S000002403
YDL245C,HXT15,S000002404
YDL246C,SOR2,S000002405
YDL247W,MPH2,S000002406
YDL247W-A,YDL247W-A,S000007602
YDL248W,COS7,S000002407
YDR001C,NTH1,S000002408
YDR002W,YRB1,S000002409
YDR003W,RCR2,S000002410
YDR003W-A,YDR003W-A,S000028819
YDR004W,RAD57,S000002411
YDR005C,MAF1,S000002412
YDR006C,SOK1,S000002413
YDR007W,TRP1,S000002414
YDR008C,YDR008C,S000002415
YDR009W,GAL3,S000002416
YDR010C,YDR010C,S000002417
YDR011W,SNQ2,S000002418
YDR012W,RPL4B,S000002419
YDR013W,PSF1,S000002420
YDR014W,RAD61,S000002421
YDR014W-A,HED1,S000113613
YDR015C,YDR015C,S000002422
YDR016C,DAD1,S000002423
YDR017C,KCS1,S000002424
YDR018C,YDR018C,S000002425
YDR019C,GCV1,S000002426
YDR020C,DAS2,S000002427
YDR021W,FAL1,S000002428
YDR022C,ATG31,S000002429
YDR023W,SES1,S000002430
YDR024W,FYV1,S000002431
YDR025W,RPS11A,S000002432
YDR026C,NSI1,S000002433
YDR027C,VPS54,S000002434
YDR028C,REG1,S000002435
YDR029W,YDR029W,S000002436
YDR030C,RAD28,S000002437
YDR031W,MIX14,S000002438
YDR032C,PST2,S000002439
YDR033W,MRH1,S000002440
YDR034C,LYS14,S000002441
YDR034C-A,YDR034C-A,S000007233
YDR034C-C,YDR034C-C,S000007344
YDR034C-D,YDR034C-D,S000007345
YDR034W-B,YDR034W-B,S000007234
YDR035W,ARO3,S000002442
YDR036C,EHD3,S000002443
YDR037W,KRS1,S000002444
YDR038C,ENA5,S000002445
YDR039C,ENA2,S000002446
YDR040C,ENA1,S000002447
YDR041W,RSM10,S000002448
YDR042C,YDR042C,S000002449
YDR043C,NRG1,S000002450
YDR044W,HEM13,S000002451
YDR045C,RPC11,S000002452
YDR046C,BAP3,S000002453
YDR047W,HEM12,S000002454
YDR048C,YDR048C,S000002455
YDR049W,VMS1,S000002456
YDR050C,TPI1,S000002457
YDR051C,DET1,S000002458
YDR052C,DBF4,S000002459
YDR053W,YDR053W,S000002460
YDR054C,CDC34,S000002461
YDR055W,PST1,S000002462
YDR056C,YDR056C,S000002463
YDR057W,YOS9,S000002464
YDR058C,TGL2,S000002465
YDR059C,UBC5,S000002466
YDR060W,MAK21,S000002467
YDR061W,YDR061W,S000002468
YDR062W,LCB2,S000002469
YDR063W,AIM7,S000002470
YDR064W,RPS13,S000002471
YDR065W,RRG1,S000002472
YDR066C,RTR2,S000002473
YDR067C,OCA6,S000002474
YDR068W,DOS2,S000002475
YDR069C,DOA4,S000002476
YDR070C,FMP16,S000002477
YDR071C,PAA1,S000002478
YDR072C,IPT1,S000002479
YDR073W,SNF11,S000002480
YDR074W,TPS2,S000002481
YDR075W,PPH3,S000002482
YDR076W,RAD55,S000002483
YDR077W,SED1,S000002484
YDR078C,SHU2,S000002485
YDR079C-A,TFB5,S000007603
YDR079W,PET100,S000002486
YDR080W,VPS41,S000002487
YDR081C,PDC2,S000002488
YDR082W,STN1,S000002489
YDR083W,RRP8,S000002490
YDR084C,TVP23,S000002491
YDR085C,AFR1,S000002492
YDR086C,SSS1,S000002493
YDR087C,RRP1,S000002494
YDR088C,SLU7,S000002495
YDR089W,YDR089W,S000002496
YDR090C,YDR090C,S000002497
YDR091C,RLI1,S000002498
YDR092W,UBC13,S000002499
YDR093W,DNF2,S000002500
YDR094W,YDR094W,S000002501
YDR095C,YDR095C,S000002502
YDR096W,GIS1,S000002503
YDR097C,MSH6,S000002504
YDR098C,GRX3,S000002505
YDR098C-A,YDR098C-A,S000007390
YDR098C-B,YDR098C-B,S000007391
YDR099W,BMH2,S000002506
YDR100W,TVP15,S000002507
YDR101C,ARX1,S000002508
YDR102C,YDR102C,S000002509
YDR103W,STE5,S000002510
YDR104C,SPO71,S000002511
YDR105C,TMS1,S000002512
YDR106W,ARP10,S000002513
YDR107C,TMN2,S000002514
YDR108W,TRS85,S000002515
YDR109C,YDR109C,S000002516
YDR110W,FOB1,S000002517
YDR111C,ALT2,S000002518
YDR112W,IRC2,S000002519
YDR113C,PDS1,S000002520
YDR114C,YDR114C,S000002521
YDR115W,YDR115W,S000002522
YDR116C,MRPL1,S000002523
YDR117C,TMA64,S000002524
YDR118W,APC4,S000002525
YDR118W-A,YDR118W-A,S000028820
YDR119W,VBA4,S000002526
YDR119W-A,COX26,S000113555
YDR120C,TRM1,S000002527
YDR121W,DPB4,S000002528
YDR122W,KIN1,S000002529
YDR123C,INO2,S000002530
YDR124W,YDR124W,S000002531
YDR125C,ECM18,S000002532
YDR126W,SWF1,S000002533
YDR127W,ARO1,S000002534
YDR128W,MTC5,S000002535
YDR129C,SAC6,S000002536
YDR130C,FIN1,S000002537
YDR131C,YDR131C,S000002538
YDR132C,YDR132C,S000002539
YDR133C,YDR133C,S000002540
YDR134C,YDR134C,S000002541
YDR135C,YCF1,S000002542
YDR136C,VPS61,S000002543
YDR137W,RGP1,S000002544
YDR138W,HPR1,S000002545
YDR139C,RUB1,S000002546
YDR140W,MTQ2,S000002547
YDR141C,DOP1,S000002548
YDR142C,PEX7,S000002549
YDR143C,SAN1,S000002550
YDR144C,MKC7,S000002551
YDR145W,TAF12,S000002552
YDR146C,SWI5,S000002553
YDR147W,EKI1,S000002554
YDR148C,KGD2,S000002555
YDR149C,YDR149C,S000002556
YDR150W,NUM1,S000002557
YDR151C,CTH1,S000002558
YDR152W,GIR2,S000002559
YDR153C,ENT5,S000002560
YDR154C,YDR154C,S000002561
YDR155C,CPR1,S000002562
YDR156W,RPA14,S000002563
YDR157W,YDR157W,S000002564
YDR158W,HOM2,S000002565
YDR159W,SAC3,S000002566
YDR160W,SSY1,S000002567
YDR161W,YDR161W,S000002568
YDR162C,NBP2,S000002569
YDR163W,CWC15,S000002570
YDR164C,SEC1,S000002571
YDR165W,TRM82,S000002572
YDR166C,SEC5,S000002573
YDR167W,TAF10,S000002574
YDR168W,CDC37,S000002575
YDR169C,STB3,S000002576
YDR169C-A,YDR169C-A,S000028538
YDR170C,SEC7,S000002577
YDR170W-A,YDR170W-A,S000007227
YDR171W,HSP42,S000002578
YDR172W,SUP35,S000002579
YDR173C,ARG82,S000002580
YDR174W,HMO1,S000002581
YDR175C,RSM24,S000002582
YDR176W,NGG1,S000002583
YDR177W,UBC1,S000002584
YDR178W,SDH4,S000002585
YDR179C,CSN9,S000002586
YDR179W-A,YDR179W-A,S000002587
YDR180W,SCC2,S000002588
YDR181C,SAS4,S000002589
YDR182W,CDC1,S000002590
YDR182W-A,YDR182W-A,S000028539
YDR183C-A,YDR183C-A,S000028540
YDR183W,PLP1,S000002591
YDR184C,ATC1,S000002592
YDR185C,UPS3,S000002593
YDR186C,YDR186C,S000002594
YDR187C,YDR187C,S000002595
YDR188W,CCT6,S000002596
YDR189W,SLY1,S000002597
YDR190C,RVB1,S000002598
YDR191W,HST4,S000002599
YDR192C,NUP42,S000002600
YDR193W,YDR193W,S000002601
YDR194C,MSS116,S000002602
YDR194W-A,YDR194W-A,S000028541
YDR195W,REF2,S000002603
YDR196C,CAB5,S000002604
YDR197W,CBS2,S000002605
YDR198C,RKM2,S000002606
YDR199W,YDR199W,S000002607
YDR200C,VPS64,S000002608
YDR201W,SPC19,S000002609
YDR202C,RAV2,S000002610
YDR203W,YDR203W,S000002611
YDR204W,COQ4,S000002612
YDR205W,MSC2,S000002613
YDR206W,EBS1,S000002614
YDR207C,UME6,S000002615
YDR208W,MSS4,S000002616
YDR209C,YDR209C,S000002617
YDR210C-C,YDR210C-C,S000007409
YDR210C-D,YDR210C-D,S000007410
YDR210W,YDR210W,S000002618
YDR210W-A,YDR210W-A,S000007392
YDR210W-B,YDR210W-B,S000007393
YDR211W,GCD6,S000002619
YDR212W,TCP1,S000002620
YDR213W,UPC2,S000002621
YDR214W,AHA1,S000002622
YDR215C,YDR215C,S000002623
YDR216W,ADR1,S000002624
YDR217C,RAD9,S000002625
YDR218C,SPR28,S000002626
YDR219C,MFB1,S000002627
YDR220C,YDR220C,S000002628
YDR221W,GTB1,S000002629
YDR222W,YDR222W,S000002630
YDR223W,CRF1,S000002631
YDR224C,HTB1,S000002632
YDR225W,HTA1,S000002633
YDR226W,ADK1,S000002634
YDR227W,SIR4,S000002635
YDR228C,PCF11,S000002636
YDR229W,IVY1,S000002637
YDR230W,YDR230W,S000002638
YDR231C,COX20,S000002639
YDR232W,HEM1,S000002640
YDR233C,RTN1,S000002641
YDR234W,LYS4,S000002642
YDR235W,PRP42,S000002643
YDR236C,FMN1,S000002644
YDR237W,MRPL7,S000002645
YDR238C,SEC26,S000002646
YDR239C,YDR239C,S000002647
YDR240C,SNU56,S000002648
YDR241W,BUD26,S000002649
YDR242W,AMD2,S000002650
YDR243C,PRP28,S000002651
YDR244W,PEX5,S000002652
YDR245W,MNN10,S000002653
YDR246W,TRS23,S000002654
YDR246W-A,YDR246W-A,S000028542
YDR247W,VHS1,S000002655
YDR248C,YDR248C,S000002656
YDR249C,YDR249C,S000002657
YDR250C,YDR250C,S000002658
YDR251W,PAM1,S000002659
YDR252W,BTT1,S000002660
YDR253C,MET32,S000002661
YDR254W,CHL4,S000002662
YDR255C,RMD5,S000002663
YDR256C,CTA1,S000002664
YDR257C,RKM4,S000002665
YDR258C,HSP78,S000002666
YDR259C,YAP6,S000002667
YDR260C,SWM1,S000002668
YDR261C,EXG2,S000002669
YDR261C-C,YDR261C-C,S000007394
YDR261C-D,YDR261C-D,S000007395
YDR261W-A,YDR261W-A,S000007396
YDR261W-B,YDR261W-B,S000007397
YDR262W,YDR262W,S000002670
YDR263C,DIN7,S000002671
YDR264C,AKR1,S000002672
YDR265W,PEX10,S000002673
YDR266C,HEL2,S000002674
YDR267C,CIA1,S000002675
YDR268W,MSW1,S000002676
YDR269C,YDR269C,S000002677
YDR270W,CCC2,S000002678
YDR271C,YDR271C,S000002679
YDR272W,GLO2,S000002680
YDR273W,DON1,S000002681
YDR274C,YDR274C,S000002682
YDR275W,BSC2,S000002683
YDR276C,PMP3,S000002684
YDR277C,MTH1,S000002685
YDR278C,YDR278C,S000002686
YDR279W,RNH202,S000002687
YDR280W,RRP45,S000002688
YDR281C,PHM6,S000002689
YDR282C,YDR282C,S000002690
YDR283C,GCN2,S000002691
YDR284C,DPP1,S000002692
YDR285W,ZIP1,S000002693
YDR286C,YDR286C,S000002694
YDR287W,INM2,S000002695
YDR288W,NSE3,S000002696
YDR289C,RTT103,S000002697
YDR290W,YDR290W,S000002698
YDR291W,HRQ1,S000002699
YDR292C,SRP101,S000002700
YDR293C,SSD1,S000002701
YDR294C,DPL1,S000002702
YDR295C,HDA2,S000002703
YDR296W,MHR1,S000002704
YDR297W,SUR2,S000002705
YDR298C,ATP5,S000002706
YDR299W,BFR2,S000002707
YDR300C,PRO1,S000002708
YDR301W,CFT1,S000002709
YDR302W,GPI11,S000002710
YDR303C,RSC3,S000002711
YDR304C,CPR5,S000002712
YDR305C,HNT2,S000002713
YDR306C,YDR306C,S000002714
YDR307W,PMT7,S000002715
YDR308C,SRB7,S000002716
YDR309C,GIC2,S000002717
YDR310C,SUM1,S000002718
YDR311W,TFB1,S000002719
YDR312W,SSF2,S000002720
YDR313C,PIB1,S000002721
YDR314C,RAD34,S000002722
YDR315C,IPK1,S000002723
YDR316W,OMS1,S000002724
YDR316W-A,YDR316W-A,S000007398
YDR316W-B,YDR316W-B,S000007399
YDR317W,HIM1,S000002725
YDR318W,MCM21,S000002726
YDR319C,YFT2,S000002727
YDR320C,SWA2,S000002728
YDR320C-A,DAD4,S000007604
YDR320W-B,YDR320W-B,S000028821
YDR321W,ASP1,S000002729
YDR322C-A,TIM11,S000007255
YDR322W,MRPL35,S000002730
YDR323C,PEP7,S000002731
YDR324C,UTP4,S000002732
YDR325W,YCG1,S000002733
YDR326C,YSP2,S000002734
YDR327W,YDR327W,S000002735
YDR328C,SKP1,S000002736
YDR329C,PEX3,S000002737
YDR330W,UBX5,S000002738
YDR331W,GPI8,S000002739
YDR332W,IRC3,S000002740
YDR333C,RQC1,S000002741
YDR334W,SWR1,S000002742
YDR335W,MSN5,S000002743
YDR336W,YDR336W,S000002744
YDR337W,MRPS28,S000002745
YDR338C,YDR338C,S000002746
YDR339C,FCF1,S000002747
YDR340W,YDR340W,S000002748
YDR341C,YDR341C,S000002749
YDR342C,HXT7,S000002750
YDR343C,HXT6,S000002751
YDR344C,YDR344C,S000002752
YDR345C,HXT3,S000002753
YDR346C,SVF1,S000002754
YDR347W,MRP1,S000002755
YDR348C,PAL1,S000002756
YDR349C,YPS7,S000002757
YDR350C,ATP22,S000002758
YDR351W,SBE2,S000002759
YDR352W,YPQ2,S000002760
YDR353W,TRR1,S000002761
YDR354C-A,YDR354C-A,S000028613
YDR354W,TRP4,S000002762
YDR355C,YDR355C,S000002763
YDR356W,SPC110,S000002764
YDR357C,CNL1,S000002765
YDR358W,GGA1,S000002766
YDR359C,EAF1,S000002767
YDR360W,OPI7,S000002768
YDR361C,BCP1,S000002769
YDR362C,TFC6,S000002770
YDR363W,ESC2,S000002771
YDR363W-A,SEM1,S000007235
YDR364C,CDC40,S000002772
YDR365C,ESF1,S000002773
YDR365W-A,YDR365W-A,S000007400
YDR365W-B,YDR365W-B,S000007401
YDR366C,YDR366C,S000002774
YDR367W,KEI1,S000002775
YDR368W,YPR1,S000002776
YDR369C,XRS2,S000002777
YDR370C,DXO1,S000002778
YDR371C-A,YDR371C-A,S000028822
YDR371W,CTS2,S000002779
YDR372C,VPS74,S000002780
YDR373W,FRQ1,S000002781
YDR374C,PHO92,S000002782
YDR374W-A,WIP1,S000113553
YDR375C,BCS1,S000002783
YDR376W,ARH1,S000002784
YDR377W,ATP17,S000002785
YDR378C,LSM6,S000002786
YDR379C-A,SDH6,S000007605
YDR379W,RGA2,S000002787
YDR380W,ARO10,S000002788
YDR381C-A,YDR381C-A,S000007650
YDR381W,YRA1,S000002789
YDR382W,RPP2B,S000002790
YDR383C,NKP1,S000002791
YDR384C,ATO3,S000002792
YDR385W,EFT2,S000002793
YDR386W,MUS81,S000002794
YDR387C,YDR387C,S000002795
YDR388W,RVS167,S000002796
YDR389W,SAC7,S000002797
YDR390C,UBA2,S000002798
YDR391C,YDR391C,S000002799
YDR392W,SPT3,S000002800
YDR393W,SHE9,S000002801
YDR394W,RPT3,S000002802
YDR395W,SXM1,S000002803
YDR396W,YDR396W,S000002804
YDR397C,NCB2,S000002805
YDR398W,UTP5,S000002806
YDR399W,HPT1,S000002807
YDR400W,URH1,S000002808
YDR401W,YDR401W,S000002809
YDR402C,DIT2,S000002810
YDR403W,DIT1,S000002811
YDR404C,RPB7,S000002812
YDR405W,MRP20,S000002813
YDR406W,PDR15,S000002814
YDR406W-A,YDR406W-A,S000028543
YDR407C,TRS120,S000002815
YDR408C,ADE8,S000002816
YDR409W,SIZ1,S000002817
YDR410C,STE14,S000002818
YDR411C,DFM1,S000002819
YDR412W,RRP17,S000002820
YDR413C,YDR413C,S000002821
YDR414C,ERD1,S000002822
YDR415C,YDR415C,S000002823
YDR416W,SYF1,S000002824
YDR417C,YDR417C,S000002825
YDR418W,RPL12B,S000002826
YDR419W,RAD30,S000002827
YDR420W,HKR1,S000002828
YDR421W,ARO80,S000002829
YDR422C,SIP1,S000002830
YDR423C,CAD1,S000002831
YDR424C,DYN2,S000002832
YDR425W,SNX41,S000002833
YDR426C,YDR426C,S000002834
YDR427W,RPN9,S000002835
YDR428C,BNA7,S000002836
YDR429C,TIF35,S000002837
YDR430C,CYM1,S000002838
YDR431W,YDR431W,S000002839
YDR432W,NPL3,S000002840
YDR433W,YDR433W,S000002841
YDR434W,GPI17,S000002842
YDR435C,PPM1,S000002843
YDR436W,PPZ2,S000002844
YDR437W,GPI19,S000002845
YDR438W,THI74,S000002846
YDR439W,LRS4,S000002847
YDR440W,DOT1,S000002848
YDR441C,APT2,S000002849
YDR442W,YDR442W,S000002850
YDR443C,SSN2,S000002851
YDR444W,YDR444W,S000002852
YDR445C,YDR445C,S000002853
YDR446W,ECM11,S000002854
YDR447C,RPS17B,S000002855
YDR448W,ADA2,S000002856
YDR449C,UTP6,S000002857
YDR450W,RPS18A,S000002858
YDR451C,YHP1,S000002859
YDR452W,PPN1,S000002860
YDR453C,TSA2,S000002861
YDR454C,GUK1,S000002862
YDR455C,YDR455C,S000002863
YDR456W,NHX1,S000002864
YDR457W,TOM1,S000002865
YDR458C,HEH2,S000002866
YDR459C,PFA5,S000002867
YDR460W,TFB3,S000002868
YDR461C-A,YDR461C-A,S000087209
YDR461W,MFA1,S000002869
YDR462W,MRPL28,S000002870
YDR463W,STP1,S000002871
YDR464C-A,YDR464C-A,S000028614
YDR464W,SPP41,S000002872
YDR465C,RMT2,S000002873
YDR466W,PKH3,S000002874
YDR467C,YDR467C,S000002875
YDR468C,TLG1,S000002876
YDR469W,SDC1,S000002877
YDR470C,UGO1,S000002878
YDR471W,RPL27B,S000002879
YDR472W,TRS31,S000002880
YDR473C,PRP3,S000002881
YDR475C,JIP4,S000002883
YDR476C,YDR476C,S000002884
YDR477W,SNF1,S000002885
YDR478W,SNM1,S000002886
YDR479C,PEX29,S000002887
YDR480W,DIG2,S000002888
YDR481C,PHO8,S000002889
YDR482C,CWC21,S000002890
YDR483W,KRE2,S000002891
YDR484W,VPS52,S000002892
YDR485C,VPS72,S000002893
YDR486C,VPS60,S000002894
YDR487C,RIB3,S000002895
YDR488C,PAC11,S000002896
YDR489W,SLD5,S000002897
YDR490C,PKH1,S000002898
YDR491C,YDR491C,S000002899
YDR492W,IZH1,S000002900
YDR493W,MZM1,S000002901
YDR494W,RSM28,S000002902
YDR495C,VPS3,S000002903
YDR496C,PUF6,S000002904
YDR497C,ITR1,S000002905
YDR498C,SEC20,S000002906
YDR499W,LCD1,S000002907
YDR500C,RPL37B,S000002908
YDR501W,PLM2,S000002909
YDR502C,SAM2,S000002910
YDR503C,LPP1,S000002911
YDR504C,SPG3,S000002912
YDR505C,PSP1,S000002913
YDR506C,GMC1,S000002914
YDR507C,GIN4,S000002915
YDR508C,GNP1,S000002916
YDR509W,YDR509W,S000002917
YDR510C-A,YDR510C-A,S000028615
YDR510W,SMT3,S000002918
YDR511W,SDH7,S000002919
YDR512C,EMI1,S000002920
YDR513W,GRX2,S000002921
YDR514C,YDR514C,S000002922
YDR515W,SLF1,S000002923
YDR516C,EMI2,S000002924
YDR517W,GRH1,S000002925
YDR518W,EUG1,S000002926
YDR519W,FPR2,S000002927
YDR520C,URC2,S000002928
YDR521W,YDR521W,S000002929
YDR522C,SPS2,S000002930
YDR523C,SPS1,S000002931
YDR524C,AGE1,S000002932
YDR524C-A,YDR524C-A,S000028616
YDR524C-B,YDR524C-B,S000028739
YDR524W-C,YDR524W-C,S000028740
YDR525W,API2,S000002933
YDR525W-A,SNA2,S000007236
YDR526C,YDR526C,S000002934
YDR527W,RBA50,S000002935
YDR528W,HLR1,S000002936
YDR529C,QCR7,S000002937
YDR530C,APA2,S000002938
YDR531W,CAB1,S000002939
YDR532C,KRE28,S000002940
YDR533C,HSP31,S000002941
YDR534C,FIT1,S000002942
YDR535C,YDR535C,S000002943
YDR536W,STL1,S000002944
YDR537C,YDR537C,S000002945
YDR538W,PAD1,S000002946
YDR539W,FDC1,S000002947
YDR540C,IRC4,S000002948
YDR541C,YDR541C,S000002949
YDR542W,PAU10,S000002950
YDR543C,YDR543C,S000002951
YDR544C,YDR544C,S000002952
YDR545C-A,YDR545C-A,S000028617
YDR545W,YRF1-1,S000002953
YEL001C,IRC22,S000000727
YEL002C,WBP1,S000000728
YEL003W,GIM4,S000000729
YEL004W,YEA4,S000000730
YEL005C,VAB2,S000000731
YEL006W,YEA6,S000000732
YEL007W,MIT1,S000000733
YEL008C-A,YEL008C-A,S000028618
YEL008W,YEL008W,S000000734
YEL009C,GCN4,S000000735
YEL009C-A,YEL009C-A,S000028741
YEL010W,YEL010W,S000000736
YEL011W,GLC3,S000000737
YEL012W,UBC8,S000000738
YEL013W,VAC8,S000000739
YEL014C,YEL014C,S000000740
YEL015W,EDC3,S000000741
YEL016C,NPP2,S000000742
YEL017C-A,PMP2,S000002103
YEL017W,GTT3,S000000743
YEL018C-A,YEL018C-A,S000028742
YEL018W,EAF5,S000000744
YEL019C,MMS21,S000000745
YEL020C,YEL020C,S000000746
YEL020C-B,YEL020C-B,S000028544
YEL020W-A,TIM9,S000007256
YEL021W,URA3,S000000747
YEL022W,GEA2,S000000748
YEL023C,YEL023C,S000000749
YEL024W,RIP1,S000000750
YEL025C,YEL025C,S000000751
YEL026W,SNU13,S000000752
YEL027W,VMA3,S000000753
YEL028W,YEL028W,S000000754
YEL029C,BUD16,S000000755
YEL030C-A,YEL030C-A,S000028619
YEL030W,ECM10,S000000756
YEL031W,SPF1,S000000757
YEL032C-A,YEL032C-A,S000028620
YEL032W,MCM3,S000000758
YEL033W,MTC7,S000000759
YEL034C-A,YEL034C-A,S000028743
YEL034W,HYP2,S000000760
YEL035C,UTR5,S000000761
YEL036C,ANP1,S000000762
YEL037C,RAD23,S000000763
YEL038W,UTR4,S000000764
YEL039C,CYC7,S000000765
YEL040W,UTR2,S000000766
YEL041W,YEF1,S000000767
YEL042W,GDA1,S000000768
YEL043W,YEL043W,S000000769
YEL044W,IES6,S000000770
YEL045C,YEL045C,S000000771
YEL046C,GLY1,S000000772
YEL047C,FRD1,S000000773
YEL048C,TCA17,S000000774
YEL049W,PAU2,S000000775
