systematic,gene,sgd
YBL062W,YBL062W,S000000158
YBL063W,KIP1,S000000159
YBL064C,PRX1,S000000160
YBL065W,YBL065W,S000000161
YBL066C,SEF1,S000000162
YBL067C,UBP13,S000000163
YBL068W,PRS4,S000000164
YBL068W-A,YBL068W-A,S000028530
YBL069W,AST1,S000000165
YBL070C,YBL070C,S000000166
YBL071C,YBL071C,S000000167
YBL071C-B,YBL071C-B,S000028597
YBL071W-A,KTI11,S000007587
YBL072C,RPS8A,S000000168
YBL073W,YBL073W,S000000169
YBL074C,AAR2,S000000170
YBL075C,SSA3,S000000171
YBL076C,ILS1,S000000172
YBL077W,YBL077W,S000000173
YBL078C,ATG8,S000000174
YBL079W,NUP170,S000000175
YBL080C,PET112,S000000176
YBL081W,YBL081W,S000000177
YBL082C,ALG3,S000000178
YBL083C,YBL083C,S000000179
YBL084C,CDC27,S000000180
YBL085W,BOI1,S000000181
YBL086C,YBL086C,S000000182
YBL087C,RPL23A,S000000183
YBL088C,TEL1,S000000184
YBL089W,AVT5,S000000185
YBL090W,MRP21,S000000186
YBL091C,MAP2,S000000187
YBL091C-A,SCS22,S000007228
YBL092W,RPL32,S000000188
YBL093C,ROX3,S000000189
YBL094C,YBL094C,S000000190
YBL095W,YBL095W,S000000191
YBL096C,YBL096C,S000000192
YBL097W,BRN1,S000000193
YBL098W,BNA4,S000000194
YBL099W,ATP1,S000000195
YBL100C,YBL100C,S000000196
YBL100W-A,YBL100W-A,S000002148
YBL100W-B,YBL100W-B,S000002149
YBL100W-C,YBL100W-C,S000028598
YBL101C,ECM21,S000000197
YBL102W,SFT2,S000000198
YBL103C,RTG3,S000000199
YBL104C,SEA4,S000000200
YBL105C,PKC1,S000000201
YBL106C,SRO77,S000000202
YBL107C,MIX23,S000000203
YBL107W-A,YBL107W-A,S000007229
YBL108C-A,PAU9,S000007592
YBL108W,YBL108W,S000000204
YBL109W,YBL109W,S000002150
YBL111C,YBL111C,S000002151
YBL112C,YBL112C,S000002152
YBL113C,YBL113C,S000002153
YBL113W-A,YBL113W-A,S000028599
YBR001C,NTH2,S000000205
YBR002C,RER2,S000000206
YBR003W,COQ1,S000000207
YBR004C,GPI18,S000000208
YBR005W,RCR1,S000000209
YBR006W,UGA2,S000000210
YBR007C,DSF2,S000000211
YBR008C,FLR1,S000000212
YBR009C,HHF1,S000000213
YBR010W,HHT1,S000000214
YBR011C,IPP1,S000000215
YBR012C,YBR012C,S000000216
YBR012W-A,YBR012W-A,S000002154
YBR012W-B,YBR012W-B,S000002155
YBR013C,YBR013C,S000000217
YBR014C,GRX7,S000000218
YBR015C,MNN2,S000000219
YBR016W,YBR016W,S000000220
YBR017C,KAP104,S000000221
YBR018C,GAL7,S000000222
YBR019C,GAL10,S000000223
YBR020W,GAL1,S000000224
YBR021W,FUR4,S000000225
YBR022W,POA1,S000000226
YBR023C,CHS3,S000000227
YBR024W,SCO2,S000000228
YBR025C,OLA1,S000000229
YBR026C,ETR1,S000000230
YBR027C,YBR027C,S000000231
YBR028C,YPK3,S000000232
YBR029C,CDS1,S000000233
YBR030W,RKM3,S000000234
YBR031W,RPL4A,S000000235
YBR032W,YBR032W,S000000236
YBR033W,EDS1,S000000237
YBR034C,HMT1,S000000238
YBR035C,PDX3,S000000239
YBR036C,CSG2,S000000240
YBR037C,SCO1,S000000241
YBR038W,CHS2,S000000242
YBR039W,ATP3,S000000243
YBR040W,FIG1,S000000244
YBR041W,FAT1,S000000245
YBR042C,CST26,S000000246
YBR043C,QDR3,S000000247
YBR044C,TCM62,S000000248
YBR045C,GIP1,S000000249
YBR046C,ZTA1,S000000250
YBR047W,FMP23,S000000251
YBR048W,RPS11B,S000000252
YBR049C,REB1,S000000253
YBR050C,REG2,S000000254
YBR051W,YBR051W,S000000255
YBR052C,RFS1,S000000256
YBR053C,YBR053C,S000000257
YBR054W,YRO2,S000000258
YBR055C,PRP6,S000000259
YBR056C-B,YBR056C-B,S000087087
YBR056W,YBR056W,S000000260
YBR056W-A,YBR056W-A,S000028736
YBR057C,MUM2,S000000261
YBR058C,UBP14,S000000262
YBR058C-A,TSC3,S000007521
YBR059C,AKL1,S000000263
YBR060C,ORC2,S000000264
YBR061C,TRM7,S000000265
YBR062C,YBR062C,S000000266
YBR063C,YBR063C,S000000267
YBR064W,YBR064W,S000000268
YBR065C,ECM2,S000000269
YBR066C,NRG2,S000000270
YBR067C,TIP1,S000000271
YBR068C,BAP2,S000000272
YBR069C,TAT1,S000000273
YBR070C,ALG14,S000000274
YBR071W,YBR071W,S000000275
YBR072C-A,YBR072C-A,S000028532
YBR072W,HSP26,S000000276
YBR073W,RDH54,S000000277
YBR074W,PFF1,S000000278
YBR076C-A,YBR076C-A,S000028533
YBR076W,ECM8,S000000280
YBR077C,SLM4,S000000281
YBR078W,ECM33,S000000282
YBR079C,RPG1,S000000283
YBR080C,SEC18,S000000284
YBR081C,SPT7,S000000285
YBR082C,UBC4,S000000286
YBR083W,TEC1,S000000287
YBR084C-A,RPL19A,S000002156
YBR084W,MIS1,S000000288
YBR085C-A,YBR085C-A,S000007522
YBR085W,AAC3,S000000289
YBR086C,IST2,S000000290
YBR087W,RFC5,S000000291
YBR088C,POL30,S000000292
YBR089C-A,NHP6B,S000002157
YBR089W,YBR089W,S000000293
YBR090C,YBR090C,S000000294
YBR091C,TIM12,S000000295
YBR092C,PHO3,S000000296
YBR093C,PHO5,S000000297
