gene,orf,no. of probes,measurments,F-statistic,#NAME?,difference,YPD,YPDGE,YPG,YPE,YPL
YER004W,YER004W,2,18,0.87994,0.29515,0.08001,1.00205,1.05316,1.08206,1.07651,1.06947
YND1,YER005W,4,44,2.12543,1.00724,0.04598,1.00581,1.03795,1.05178,1.03768,1.044
YER006W,YER006W,0,0,,,,,,,,
YER007C-A,YER007C-A,4,44,31.79362,10.4855,0.11149,0.93188,0.97358,1.0181,1.04337,1.04118
PAC2,YER007W,4,44,5.74647,2.93729,0.08371,0.93828,0.95702,1.02199,0.96565,0.9936
sec3,YER008C,0,0,,,,,,,,
NTF2,YER009W,0,0,,,,,,,,
YER010C,YER010C,3,33,7.5257,3.39673,0.091,0.994,1.05877,1.07231,1.085,1.07718
TIR1,YER011W,2,22,2.01813,0.84333,0.0816,1.01382,1.08059,1.09542,1.0834,1.07913
pre1,YER012W,1,11,2.37453,0.73461,0.23189,1.07124,1.20683,1.25833,1.02644,1.04844
prp22,YER013W,3,33,8.87457,3.87665,0.27627,0.97209,1.11817,1.21625,0.93998,1.00785
BUD25,YER014C-A,3,19,10.07986,2.95289,0.15083,0.74307,0.59225,0.73074,0.62825,0.63157
HEM14,YER014W,2,22,8.16376,2.97702,0.26067,0.92787,1.12382,1.18637,0.92576,0.9257
BIM1,YER016W,2,22,6.24472,2.43824,0.0869,0.83108,0.85913,0.90402,0.90734,0.91798
AFG3,YER017C,4,38,31.95766,9.52113,0.19761,0.75392,0.67267,0.59171,0.55631,0.5724
SPC25,YER018C,0,0,,,,,,,,
SBH2,YER019C-A,4,44,1.9913,0.93055,0.03994,0.97715,0.9843,0.97691,0.95005,0.98999
ISC1,YER019W,4,44,3.64554,1.85836,0.05031,0.92874,0.93927,0.97904,0.93064,0.93381
gpa2,YER020W,4,44,18.22945,7.4499,0.09526,0.94215,0.97955,1.03741,1.01337,1.01091
RPN3,YER021W,0,0,,,,,,,,
SRB4,YER022W,0,0,,,,,,,,
pro3,YER023W,0,0,,,,,,,,
YER024W,YER024W,4,44,1.0843,0.42108,0.0323,0.99326,1.01889,1.02555,0.9977,1.01166
gcd11,YER025W,0,0,,,,,,,,
GAL83,YER027C,4,44,0.09832,0.00775,0.01153,1.023,1.03408,1.02255,1.03278,1.02494
YER028C,YER028C,4,39,34.18609,10.05006,0.15858,0.75499,0.67601,0.63224,0.59641,0.61549
YER030W,YER030W,3,32,8.79739,3.79409,0.1116,0.9908,1.06798,1.07921,1.09627,1.1024
YPT31,YER031C,2,22,0.53981,0.14941,0.02864,0.93869,0.94212,0.94237,0.91373,0.9369
FIR1,YER032W,4,44,1.5591,0.68433,0.03033,0.98707,0.99138,1.01639,0.98606,1.01585
ZRG8,YER033C,4,44,0.87064,0.30869,0.01739,0.98968,1.00671,1.00617,0.99793,1.00707
YER034W,YER034W,4,44,7.17358,3.60197,0.06567,0.96488,1.0049,1.03055,1.01598,1.02929
EDC2,YER035W,0,0,,,,,,,,
YER036C,YER036C,0,0,,,,,,,,
PHM8,YER037W,4,44,2.16428,1.02945,0.06044,1.03304,1.07322,1.0657,1.09348,1.07941
YER038C,YER038C,0,0,,,,,,,,
YER038W-A,YER038W-A,4,44,1.5094,0.65626,0.05763,0.98253,1.02001,1.04017,1.03434,1.02929
HVG1,YER039C,3,33,7.08064,3.22907,0.09647,0.97013,0.99691,1.0666,1.0526,1.044
YER039C-A,YER039C-A,4,44,1.09357,0.42607,0.03199,1.02301,1.02618,1.01821,1.0502,1.03776
gln3,YER040W,4,43,107.1411,18.04876,0.23524,0.79155,0.90049,1.01429,1.02679,0.99492
YER041W,YER041W,4,43,2.14986,1.01815,0.04931,0.99154,1.03416,0.99445,1.0035,0.98485
MXR1,YER042W,4,44,0.73636,0.24148,0.03528,0.9889,1.01212,1.02418,1.01194,1.01552
SAH1,YER043C,0,0,,,,,,,,
BUD18,YER044C,4,29,28.09694,7.23094,0.38798,0.6329,0.46008,0.84805,0.64343,0.80059
mei4,YER044C-A,4,44,1.11096,0.43546,0.03221,0.99101,1.01592,1.02322,0.99103,1.0043
YER045C,YER045C,4,44,5.93272,3.02704,0.03983,0.98814,0.99514,1.0073,0.96748,0.9796
YER046W,YER046W,4,44,1.47583,0.63734,0.04675,1.01459,1.0423,1.05664,1.05236,1.06134
YER046W-A,YER046W-A,4,44,1.10389,0.43163,0.03824,0.9674,0.96317,0.98218,0.94394,0.96178
SAP1,YER047C,3,33,5.8094,2.72163,0.09165,0.95347,0.99194,1.04512,1.03645,1.02949
CAJ1,YER048C,4,44,0.94833,0.3489,0.02304,0.98655,0.98376,0.98271,0.96351,0.96807
YER048W-A,YER048W-A,0,0,,,,,,,,
YER049W,YER049W,4,42,4.39687,2.2328,0.10042,1.0069,1.05462,1.07505,1.10733,1.09578
RSM18,YER050C,4,34,7.06762,3.2241,0.13114,0.7164,0.67709,0.6287,0.60816,0.58526
YER051W,YER051W,2,22,1.86801,0.77334,0.03333,0.96974,0.99984,1.00307,0.99174,0.98217
hom3,YER052C,3,32,2.98704,1.40762,0.07354,0.95675,1.0056,1.03029,1.02659,1.02751
YER053C,YER053C,4,43,0.72759,0.23708,0.0348,0.99413,1.02387,1.02893,1.00208,1.01662
GIP2,YER054C,0,0,,,,,,,,
