AAC1
AAC3
AAD3
AAD4
AAD6
AAH1
AAP1
AAT1
AAT2
ABF2
ABM1
ABP1
ABP140
ABZ1
ABZ2
ACA1
ACB1
ACE2
ACF2
ACF4
ACH1
ACK1
ACM1
ACN9
ACO1
ACO2
ACS1
ADA2
ADD37
ADD66
ADE1
ADE12
ADE16
ADE17
ADE2
ADE3
ADE4
ADE5-7
ADE6
ADE8
ADH1
ADH2
ADH3
ADH4
ADH5
ADH6
ADH7
ADI1
ADK1
ADK2
ADO1
ADP1
ADR1
ADY2
ADY3
ADY4
AEP1
AEP2
AEP3
AFG1
AFG3
AFI1
AFR1
AFT1
AFT2
AGA1
AGA2
AGC1
AGE1
AGE2
AGP1
AGP2
AGP3
AGX1
AHA1
AHC1
AHC2
AHP1
AHT1
AIF1
AIM1
AIM10
AIM13
AIM14
AIM2
AIM20
AIM21
AIM22
AIM23
AIM25
AIM26
AIM29
AIM3
AIM31
AIM32
AIM33
AIM34
AIM37
AIM38
AIM39
AIM41
AIM44
AIM45
AIM7
AIM9
AIP1
AIR1
AIR2
AKL1
AKR1
AKR2
ALB1
ALD2
ALD3
ALD4
ALD5
ALD6
ALE1
ALF1
ALG12
ALG3
ALG5
ALG6
ALG8
ALG9
ALK1
ALK2
ALO1
ALP1
ALR2
ALT1
ALT2
ALY1
ALY2
AMA1
AMD1
AMD2
AML1
AMN1
AMS1
ANB1
ANP1
ANT1
APA1
APA2
APC9
APD1
APE2
APE3
API2
APJ1
APL1
APL2
APL3
APL4
APL5
APL6
APM1
APM2
APM3
APM4
APN1
APN2
APP1
APQ12
APS1
APS2
APS3
APT1
APT2
AQR1
AQY1
AQY2
ARA1
ARA2
ARC1
ARC18
ARD1
ARE1
ARE2
ARF1
ARF2
ARF3
ARG1
ARG2
ARG3
ARG4
ARG5-6
ARG80
ARG81
ARG82
ARK1
ARL1
ARL3
ARN1
ARN2
ARO1
ARO10
ARO2
ARO3
ARO4
ARO7
ARO8
ARO80
