Gene,RLS
YGR211W,0
YGR216C,0
YGR218W,0
YGR245C,0
YGR246C,0
YGR251W,0
YGR253C,0
YGR264C,0
YGR267C,0
YGR274C,0
YGR277C,0
YGR278W,0
YGR280C,0
YHL015W,0
YHR005C-A,0
YHR007C,0
YHR019C,0
YHR020W,0
YHR023W,0
YHR024C,0
YHR036W,0
YHR040W,0
YHR058C,0
YHR062C,0
YHR065C,0
YHR068W,0
YHR069C,0
YHR070W,0
YHR072W,0
YHR074W,0
YHR083W,0
YHR084W,0
YHR085W,0
YHR088W,0
YHR101C,0
YHR118C,0
YHR122W,0
YHR143W-A,0
YHR148W,0
YHR164C,0
YHR166C,0
YHR170W,0
YHR172W,0
YHR186C,0
YHR188C,0
YHR190W,0
YHR196W,0
YHR197W,0
YIL003W,0
YIL004C,0
YIL019W,0
YIL021W,0
YIL026C,0
YIL031W,0
YIL048W,0
YIL051C,0
YIL061C,0
YIL062C,0
YIL063C,0
YIL068C,0
YIL075C,0
YIL078W,0
YIL083C,0
YIL091C,0
YIL104C,0
YIL106W,0
YIL109C,0
YIL115C,0
YIL118W,0
YIL126W,0
YIL129C,0
YIL142W,0
YIL143C,0
YIL144W,0
YIL147C,0
YIL150C,0
YIR006C,0
YIR008C,0
YIR010W,0
YIR011C,0
YIR012W,0
YIR015W,0
YIR022W,0
YJL001W,0
YJL002C,0
YJL005W,0
YJL008C,0
YJL010C,0
YJL011C,0
YJL014W,0
YJL019W,0
YJL025W,0
YJL026W,0
YJL031C,0
YJL033W,0
YJL034W,0
YJL035C,0
YJL039C,0
YJL041W,0
YJL050W,0
YJL061W,0
YJL069C,0
YJL072C,0
YJL074C,0
YJL076W,0
YJL081C,0
YJL085W,0
YJL087C,0
YJL091C,0
YJL097W,0
YJL104W,0
YJL109C,0
YJL111W,0
YJL125C,0
YJL143W,0
YJL156C,0
YJL167W,0
YJL173C,0
YJL174W,0
YJL194W,0
YJL203W,0
YJR002W,0
YJR006W,0
YJR007W,0
YJR012C,0
YJR013W,0
YJR016C,0
YJR017C,0
YJR022W,0
YJR041C,0
YJR042W,0
YJR045C,0
YJR046W,0
YJR057W,0
YJR064W,0
YJR065C,0
YJR067C,0
YJR068W,0
YJR072C,0
YJR076C,0
YJR093C,0
YJR112W,0
YJR123W,0
YJR141W,0
YKL004W,0
YKL006C-A,0
YKL012W,0
YKL013C,0
YKL014C,0
YKL018W,0
YKL019W,0
YKL021C,0
YKL022C,0
YKL024C,0
YKL028W,0
YKL033W,0
YKL042W,0
YKL045W,0
YKL049C,0
YKL052C,0
YKL058W,0
YKL059C,0
YKL060C,0
YKL078W,0
YKL082C,0
YKL088W,0
YKL089W,0
YKL095W,0
YKL099C,0
YKL104C,0
YKL108W,0
YKL112W,0
YKL122C,0
YKL125W,0
YKL138C-A,0
YKL141W,0
YKL144C,0
YKL145W,0
YKL152C,0
YKL154W,0
YKL165C,0
YKL172W,0
YKL173W,0
YKL180W,0
YKL182W,0
YKL186C,0
YKL189W,0
YKL192C,0
YKL193C,0
YKL195W,0
YKL196C,0
YKL203C,0
YKL210W,0
YKR002W,0
YKR004C,0
YKR008W,0
YKR022C,0
YKR025W,0
YKR037C,0
YKR038C,0
YKR062W,0
YKR063C,0
YKR068C,0
YKR071C,0
YKR079C,0
YKR081C,0
YKR083C,0
YKR086W,0
YLL003W,0
YLL004W,0
YLL008W,0
YLL011W,0
YLL018C,0
YLL031C,0
YLL034C,0
YLL035W,0
YLL036C,0
YLL050C,0
YLR002C,0
YLR005W,0
YLR007W,0
YLR008C,0
YLR009W,0
YLR010C,0
YLR022C,0
YLR026C,0
YLR029C,0
YLR033W,0
YLR045C,0
YLR051C,0
YLR060W,0
YLR066W,0
YLR071C,0
YLR075W,0
